"","admit","gre","gpa","rank"
"153",1,640,3.94,2
"154",0,580,3.46,3
"155",0,620,3.69,3
"156",1,580,2.86,4
"157",0,560,2.52,2
"158",1,480,3.58,1
"159",0,660,3.49,2
"160",0,700,3.82,3
"161",0,600,3.13,2
"162",0,640,3.5,2
"163",1,700,3.56,2
"164",0,520,2.73,2
"165",0,580,3.3,2
"166",0,700,4,1
"167",0,440,3.24,4
"168",0,720,3.77,3
"169",0,500,4,3
"170",0,600,3.62,3
"171",0,400,3.51,3
"172",0,540,2.81,3
"173",0,680,3.48,3
"174",1,800,3.43,2
"175",0,500,3.53,4
"176",1,620,3.37,2
"177",0,520,2.62,2
"178",1,620,3.23,3
"179",0,620,3.33,3
"180",0,300,3.01,3
"181",0,620,3.78,3
"182",0,500,3.88,4
"183",0,700,4,2
"184",1,540,3.84,2
"185",0,500,2.79,4
"186",0,800,3.6,2
"187",0,560,3.61,3
"188",0,580,2.88,2
"189",0,560,3.07,2
"190",0,500,3.35,2
"191",1,640,2.94,2
"192",0,800,3.54,3
"193",0,640,3.76,3
"194",0,380,3.59,4
"195",1,600,3.47,2
"196",0,560,3.59,2
"197",0,660,3.07,3
"198",1,400,3.23,4
"199",0,600,3.63,3
"200",0,580,3.77,4
"201",0,800,3.31,3
"202",1,580,3.2,2
"203",1,700,4,1
"204",0,420,3.92,4
"205",1,600,3.89,1
"206",1,780,3.8,3
"207",0,740,3.54,1
"208",1,640,3.63,1
"209",0,540,3.16,3
"210",0,580,3.5,2
"211",0,740,3.34,4
"212",0,580,3.02,2
"213",0,460,2.87,2
"214",0,640,3.38,3
"215",1,600,3.56,2
"216",1,660,2.91,3
"217",0,340,2.9,1
"218",1,460,3.64,1
"219",0,460,2.98,1
"220",1,560,3.59,2
"221",0,540,3.28,3
"222",0,680,3.99,3
"223",1,480,3.02,1
"224",0,800,3.47,3
"225",0,800,2.9,2
"226",1,720,3.5,3
"227",0,620,3.58,2
"228",0,540,3.02,4
"229",0,480,3.43,2
"230",1,720,3.42,2
"231",0,580,3.29,4
"232",0,600,3.28,3
"233",0,380,3.38,2
"234",0,420,2.67,3
"235",1,800,3.53,1
"236",0,620,3.05,2
"237",1,660,3.49,2
"238",0,480,4,2
"239",0,500,2.86,4
"240",0,700,3.45,3
"241",0,440,2.76,2
"242",1,520,3.81,1
"243",1,680,2.96,3
"244",0,620,3.22,2
"245",0,540,3.04,1
"246",0,800,3.91,3
"247",0,680,3.34,2
"248",0,440,3.17,2
"249",0,680,3.64,3
"250",0,640,3.73,3
"251",0,660,3.31,4
"252",0,620,3.21,4
"253",1,520,4,2
"254",1,540,3.55,4
"255",1,740,3.52,4
"256",0,640,3.35,3
"257",1,520,3.3,2
"258",1,620,3.95,3
"259",0,520,3.51,2
"260",0,640,3.81,2
"261",0,680,3.11,2
"262",0,440,3.15,2
"263",1,520,3.19,3
"264",1,620,3.95,3
"265",1,520,3.9,3
"266",0,380,3.34,3
"267",0,560,3.24,4
"268",1,600,3.64,3
"269",1,680,3.46,2
"270",0,500,2.81,3
"271",1,640,3.95,2
"272",0,540,3.33,3
"273",1,680,3.67,2
"274",0,660,3.32,1
"275",0,520,3.12,2
"276",1,600,2.98,2
"277",0,460,3.77,3
"278",1,580,3.58,1
"279",1,680,3,4
"280",1,660,3.14,2
"281",0,660,3.94,2
"282",0,360,3.27,3
"283",0,660,3.45,4
"284",0,520,3.1,4
"285",1,440,3.39,2
"286",0,600,3.31,4
"287",1,800,3.22,1
"288",1,660,3.7,4
"289",0,800,3.15,4
"290",0,420,2.26,4
"291",1,620,3.45,2
"292",0,800,2.78,2
"293",0,680,3.7,2
"294",0,800,3.97,1
"295",0,480,2.55,1
"296",0,520,3.25,3
"297",0,560,3.16,1
"298",0,460,3.07,2
"299",0,540,3.5,2
"300",0,720,3.4,3
"301",0,640,3.3,2
"302",1,660,3.6,3
"303",1,400,3.15,2
"304",1,680,3.98,2
"305",0,220,2.83,3
"306",0,580,3.46,4
"307",1,540,3.17,1
"308",0,580,3.51,2
"309",0,540,3.13,2
"310",0,440,2.98,3
"311",0,560,4,3
"312",0,660,3.67,2
"313",0,660,3.77,3
"314",1,520,3.65,4
"315",0,540,3.46,4
"316",1,300,2.84,2
"317",1,340,3,2
"318",1,780,3.63,4
"319",1,480,3.71,4
"320",0,540,3.28,1
"321",0,460,3.14,3
"322",0,460,3.58,2
"323",0,500,3.01,4
"324",0,420,2.69,2
"325",0,520,2.7,3
"326",0,680,3.9,1
"327",0,680,3.31,2
"328",1,560,3.48,2
"329",0,580,3.34,2
"330",0,500,2.93,4
"331",0,740,4,3
"332",0,660,3.59,3
"333",0,420,2.96,1
"334",0,560,3.43,3
"335",1,460,3.64,3
"336",1,620,3.71,1
"337",0,520,3.15,3
"338",0,620,3.09,4
"339",0,540,3.2,1
"340",1,660,3.47,3
"341",0,500,3.23,4
"342",1,560,2.65,3
"343",0,500,3.95,4
"344",0,580,3.06,2
"345",0,520,3.35,3
"346",0,500,3.03,3
"347",0,600,3.35,2
"348",0,580,3.8,2
"349",0,400,3.36,2
"350",0,620,2.85,2
"351",1,780,4,2
"352",0,620,3.43,3
"353",1,580,3.12,3
"354",0,700,3.52,2
"355",1,540,3.78,2
"356",1,760,2.81,1
"357",0,700,3.27,2
"358",0,720,3.31,1
"359",1,560,3.69,3
"360",0,720,3.94,3
"361",1,520,4,1
"362",1,540,3.49,1
"363",0,680,3.14,2
"364",0,460,3.44,2
"365",1,560,3.36,1
"366",0,480,2.78,3
"367",0,460,2.93,3
"368",0,620,3.63,3
"369",0,580,4,1
"370",0,800,3.89,2
"371",1,540,3.77,2
"372",1,680,3.76,3
"373",1,680,2.42,1
"374",1,620,3.37,1
"375",0,560,3.78,2
"376",0,560,3.49,4
"377",0,620,3.63,2
"378",1,800,4,2
"379",0,640,3.12,3
"380",0,540,2.7,2
"381",0,700,3.65,2
"382",1,540,3.49,2
"383",0,540,3.51,2
"384",0,660,4,1
"385",1,480,2.62,2
"386",0,420,3.02,1
"387",1,740,3.86,2
"388",0,580,3.36,2
"389",0,640,3.17,2
"390",0,640,3.51,2
"391",1,800,3.05,2
"392",1,660,3.88,2
"393",1,600,3.38,3
"394",1,620,3.75,2
"395",1,460,3.99,3
"396",0,620,4,2
"397",0,560,3.04,3
"398",0,460,2.63,2
"399",0,700,3.65,2
"400",0,600,3.89,3
"401",0,380,3.61,3
"402",1,660,3.67,3
"403",1,800,4,1
"404",1,640,3.19,4
"405",0,520,2.93,4
"406",1,760,3,2
"407",1,560,2.98,1
"408",0,400,3.08,2
"409",1,540,3.39,3
"410",0,700,3.92,2
"411",0,800,4,4
"412",0,440,3.22,1
"413",1,760,4,1
"414",0,700,3.08,2
"415",1,700,4,1
"416",0,480,3.44,3
"417",0,780,3.87,4
"418",0,360,2.56,3
"419",0,800,3.75,2
"420",1,540,3.81,1
"421",0,500,3.17,3
"422",1,660,3.63,2
"423",0,600,2.82,4
"424",0,680,3.19,4
"425",1,760,3.35,2
"426",1,800,3.66,1
"427",1,620,3.61,1
"428",1,520,3.74,4
"429",1,780,3.22,2
"430",0,520,3.29,1
"431",0,540,3.78,4
"432",0,760,3.35,3
"433",0,600,3.4,3
"434",1,800,4,3
"435",0,360,3.14,1
"436",0,400,3.05,2
"437",0,580,3.25,1
"438",0,520,2.9,3
"439",1,500,3.13,2
"440",1,520,2.68,3
"441",0,560,2.42,2
"442",1,580,3.32,2
"443",1,600,3.15,2
"444",0,500,3.31,3
"445",0,700,2.94,2
"446",1,460,3.45,3
"447",1,580,3.46,2
"448",0,500,2.97,4
"449",0,440,2.48,4
"450",0,400,3.35,3
"451",0,640,3.86,3
"452",0,440,3.13,4
"453",0,740,3.37,4
"454",1,680,3.27,2
"455",0,660,3.34,3
"456",1,740,4,3
"457",0,560,3.19,3
"458",0,380,2.94,3
"459",0,400,3.65,2
"460",0,600,2.82,4
"461",1,620,3.18,2
"462",0,560,3.32,4
"463",0,640,3.67,3
"464",1,680,3.85,3
"465",0,580,4,3
"466",0,600,3.59,2
"467",0,740,3.62,4
"468",0,620,3.3,1
"469",0,580,3.69,1
"470",0,800,3.73,1
"471",0,640,4,3
"472",0,300,2.92,4
"473",0,480,3.39,4
"474",0,580,4,2
"475",0,720,3.45,4
"476",0,720,4,3
"477",0,560,3.36,3
"478",1,800,4,3
"479",0,540,3.12,1
"480",1,620,4,1
"481",0,700,2.9,4
"482",0,620,3.07,2
"483",0,500,2.71,2
"484",0,380,2.91,4
"485",1,500,3.6,3
"486",0,520,2.98,2
"487",0,600,3.32,2
"488",0,600,3.48,2
"489",0,700,3.28,1
"490",1,660,4,2
"491",0,700,3.83,2
"492",1,720,3.64,1
"493",0,800,3.9,2
"494",0,580,2.93,2
"495",1,660,3.44,2
"496",0,660,3.33,2
"497",0,640,3.52,4
"498",0,480,3.57,2
"499",0,700,2.88,2
"500",0,400,3.31,3
"501",0,340,3.15,3
"502",0,580,3.57,3
"503",0,380,3.33,4
"504",0,540,3.94,3
"505",1,660,3.95,2
"506",1,740,2.97,2
"507",1,700,3.56,1
"508",0,480,3.13,2
"509",0,400,2.93,3
"510",0,480,3.45,2
"511",0,680,3.08,4
"512",0,420,3.41,4
"513",0,360,3,3
"514",0,600,3.22,1
"515",0,720,3.84,3
"516",0,620,3.99,3
"517",1,440,3.45,2
"518",0,700,3.72,2
"519",1,800,3.7,1
"520",0,340,2.92,3
"521",1,520,3.74,2
"522",1,480,2.67,2
"523",0,520,2.85,3
"524",0,500,2.98,3
"525",0,720,3.88,3
"526",0,540,3.38,4
"527",1,600,3.54,1
"528",0,740,3.74,4
"529",0,540,3.19,2
"530",0,460,3.15,4
"531",1,620,3.17,2
"532",0,640,2.79,2
"533",0,580,3.4,2
"534",0,500,3.08,3
"535",0,560,2.95,2
"536",0,500,3.57,3
"537",0,560,3.33,4
"538",0,700,4,3
"539",0,620,3.4,2
"540",1,600,3.58,1
"541",0,640,3.93,2
"542",1,700,3.52,4
"543",0,620,3.94,4
"544",0,580,3.4,3
"545",0,580,3.4,4
"546",0,380,3.43,3
"547",0,480,3.4,2
"548",0,560,2.71,3
"549",1,480,2.91,1
"550",0,740,3.31,1
"551",1,800,3.74,1
"552",0,400,3.38,2
"553",1,640,3.94,2
"554",0,580,3.46,3
"555",0,620,3.69,3
"556",1,580,2.86,4
"557",0,560,2.52,2
"558",1,480,3.58,1
"559",0,660,3.49,2
"560",0,700,3.82,3
"561",0,600,3.13,2
"562",0,640,3.5,2
"563",1,700,3.56,2
"564",0,520,2.73,2
"565",0,580,3.3,2
"566",0,700,4,1
"567",0,440,3.24,4
"568",0,720,3.77,3
"569",0,500,4,3
"570",0,600,3.62,3
"571",0,400,3.51,3
"572",0,540,2.81,3
"573",0,680,3.48,3
"574",1,800,3.43,2
"575",0,500,3.53,4
"576",1,620,3.37,2
"577",0,520,2.62,2
"578",1,620,3.23,3
"579",0,620,3.33,3
"580",0,300,3.01,3
"581",0,620,3.78,3
"582",0,500,3.88,4
"583",0,700,4,2
"584",1,540,3.84,2
"585",0,500,2.79,4
"586",0,800,3.6,2
"587",0,560,3.61,3
"588",0,580,2.88,2
"589",0,560,3.07,2
"590",0,500,3.35,2
"591",1,640,2.94,2
"592",0,800,3.54,3
"593",0,640,3.76,3
"594",0,380,3.59,4
"595",1,600,3.47,2
"596",0,560,3.59,2
"597",0,660,3.07,3
"598",1,400,3.23,4
"599",0,600,3.63,3
"600",0,580,3.77,4
"601",0,800,3.31,3
"602",1,580,3.2,2
"603",1,700,4,1
"604",0,420,3.92,4
"605",1,600,3.89,1
"606",1,780,3.8,3
"607",0,740,3.54,1
"608",1,640,3.63,1
"609",0,540,3.16,3
"610",0,580,3.5,2
"611",0,740,3.34,4
"612",0,580,3.02,2
"613",0,460,2.87,2
"614",0,640,3.38,3
"615",1,600,3.56,2
"616",1,660,2.91,3
"617",0,340,2.9,1
"618",1,460,3.64,1
"619",0,460,2.98,1
"620",1,560,3.59,2
"621",0,540,3.28,3
"622",0,680,3.99,3
"623",1,480,3.02,1
"624",0,800,3.47,3
"625",0,800,2.9,2
"626",1,720,3.5,3
"627",0,620,3.58,2
"628",0,540,3.02,4
"629",0,480,3.43,2
"630",1,720,3.42,2
"631",0,580,3.29,4
"632",0,600,3.28,3
"633",0,380,3.38,2
"634",0,420,2.67,3
"635",1,800,3.53,1
"636",0,620,3.05,2
"637",1,660,3.49,2
"638",0,480,4,2
"639",0,500,2.86,4
"640",0,700,3.45,3
"641",0,440,2.76,2
"642",1,520,3.81,1
"643",1,680,2.96,3
"644",0,620,3.22,2
"645",0,540,3.04,1
"646",0,800,3.91,3
"647",0,680,3.34,2
"648",0,440,3.17,2
"649",0,680,3.64,3
"650",0,640,3.73,3
"651",0,660,3.31,4
"652",0,620,3.21,4
"653",1,520,4,2
"654",1,540,3.55,4
"655",1,740,3.52,4
"656",0,640,3.35,3
"657",1,520,3.3,2
"658",1,620,3.95,3
"659",0,520,3.51,2
"660",0,640,3.81,2
"661",0,680,3.11,2
"662",0,440,3.15,2
"663",1,520,3.19,3
"664",1,620,3.95,3
"665",1,520,3.9,3
"666",0,380,3.34,3
"667",0,560,3.24,4
"668",1,600,3.64,3
"669",1,680,3.46,2
"670",0,500,2.81,3
"671",1,640,3.95,2
"672",0,540,3.33,3
"673",1,680,3.67,2
"674",0,660,3.32,1
"675",0,520,3.12,2
"676",1,600,2.98,2
"677",0,460,3.77,3
"678",1,580,3.58,1
"679",1,680,3,4
"680",1,660,3.14,2
"681",0,660,3.94,2
"682",0,360,3.27,3
"683",0,660,3.45,4
"684",0,520,3.1,4
"685",1,440,3.39,2
"686",0,600,3.31,4
"687",1,800,3.22,1
"688",1,660,3.7,4
"689",0,800,3.15,4
"690",0,420,2.26,4
"691",1,620,3.45,2
"692",0,800,2.78,2
"693",0,680,3.7,2
"694",0,800,3.97,1
"695",0,480,2.55,1
"696",0,520,3.25,3
"697",0,560,3.16,1
"698",0,460,3.07,2
"699",0,540,3.5,2
"700",0,720,3.4,3
"701",0,640,3.3,2
"702",1,660,3.6,3
"703",1,400,3.15,2
"704",1,680,3.98,2
"705",0,220,2.83,3
"706",0,580,3.46,4
"707",1,540,3.17,1
"708",0,580,3.51,2
"709",0,540,3.13,2
"710",0,440,2.98,3
"711",0,560,4,3
"712",0,660,3.67,2
"713",0,660,3.77,3
"714",1,520,3.65,4
"715",0,540,3.46,4
"716",1,300,2.84,2
"717",1,340,3,2
"718",1,780,3.63,4
"719",1,480,3.71,4
"720",0,540,3.28,1
"721",0,460,3.14,3
"722",0,460,3.58,2
"723",0,500,3.01,4
"724",0,420,2.69,2
"725",0,520,2.7,3
"726",0,680,3.9,1
"727",0,680,3.31,2
"728",1,560,3.48,2
"729",0,580,3.34,2
"730",0,500,2.93,4
"731",0,740,4,3
"732",0,660,3.59,3
"733",0,420,2.96,1
"734",0,560,3.43,3
"735",1,460,3.64,3
"736",1,620,3.71,1
"737",0,520,3.15,3
"738",0,620,3.09,4
"739",0,540,3.2,1
"740",1,660,3.47,3
"741",0,500,3.23,4
"742",1,560,2.65,3
"743",0,500,3.95,4
"744",0,580,3.06,2
"745",0,520,3.35,3
"746",0,500,3.03,3
"747",0,600,3.35,2
"748",0,580,3.8,2
"749",0,400,3.36,2
"750",0,620,2.85,2
"751",1,780,4,2
"752",0,620,3.43,3
"753",1,580,3.12,3
"754",0,700,3.52,2
"755",1,540,3.78,2
"756",1,760,2.81,1
"757",0,700,3.27,2
"758",0,720,3.31,1
"759",1,560,3.69,3
"760",0,720,3.94,3
"761",1,520,4,1
"762",1,540,3.49,1
"763",0,680,3.14,2
"764",0,460,3.44,2
"765",1,560,3.36,1
"766",0,480,2.78,3
"767",0,460,2.93,3
"768",0,620,3.63,3
"769",0,580,4,1
"770",0,800,3.89,2
"771",1,540,3.77,2
"772",1,680,3.76,3
"773",1,680,2.42,1
"774",1,620,3.37,1
"775",0,560,3.78,2
"776",0,560,3.49,4
"777",0,620,3.63,2
"778",1,800,4,2
"779",0,640,3.12,3
"780",0,540,2.7,2
"781",0,700,3.65,2
"782",1,540,3.49,2
"783",0,540,3.51,2
"784",0,660,4,1
"785",1,480,2.62,2
"786",0,420,3.02,1
"787",1,740,3.86,2
"788",0,580,3.36,2
"789",0,640,3.17,2
"790",0,640,3.51,2
"791",1,800,3.05,2
"792",1,660,3.88,2
"793",1,600,3.38,3
"794",1,620,3.75,2
"795",1,460,3.99,3
"796",0,620,4,2
"797",0,560,3.04,3
"798",0,460,2.63,2
"799",0,700,3.65,2
"800",0,600,3.89,3
"801",0,380,3.61,3
"802",1,660,3.67,3
"803",1,800,4,1
"804",1,640,3.19,4
"805",0,520,2.93,4
"806",1,760,3,2
"807",1,560,2.98,1
"808",0,400,3.08,2
"809",1,540,3.39,3
"810",0,700,3.92,2
"811",0,800,4,4
"812",0,440,3.22,1
"813",1,760,4,1
"814",0,700,3.08,2
"815",1,700,4,1
"816",0,480,3.44,3
"817",0,780,3.87,4
"818",0,360,2.56,3
"819",0,800,3.75,2
"820",1,540,3.81,1
"821",0,500,3.17,3
"822",1,660,3.63,2
"823",0,600,2.82,4
"824",0,680,3.19,4
"825",1,760,3.35,2
"826",1,800,3.66,1
"827",1,620,3.61,1
"828",1,520,3.74,4
"829",1,780,3.22,2
"830",0,520,3.29,1
"831",0,540,3.78,4
"832",0,760,3.35,3
"833",0,600,3.4,3
"834",1,800,4,3
"835",0,360,3.14,1
"836",0,400,3.05,2
"837",0,580,3.25,1
"838",0,520,2.9,3
"839",1,500,3.13,2
"840",1,520,2.68,3
"841",0,560,2.42,2
"842",1,580,3.32,2
"843",1,600,3.15,2
"844",0,500,3.31,3
"845",0,700,2.94,2
"846",1,460,3.45,3
"847",1,580,3.46,2
"848",0,500,2.97,4
"849",0,440,2.48,4
"850",0,400,3.35,3
"851",0,640,3.86,3
"852",0,440,3.13,4
"853",0,740,3.37,4
"854",1,680,3.27,2
"855",0,660,3.34,3
"856",1,740,4,3
"857",0,560,3.19,3
"858",0,380,2.94,3
"859",0,400,3.65,2
"860",0,600,2.82,4
"861",1,620,3.18,2
"862",0,560,3.32,4
"863",0,640,3.67,3
"864",1,680,3.85,3
"865",0,580,4,3
"866",0,600,3.59,2
"867",0,740,3.62,4
"868",0,620,3.3,1
"869",0,580,3.69,1
"870",0,800,3.73,1
"871",0,640,4,3
"872",0,300,2.92,4
"873",0,480,3.39,4
"874",0,580,4,2
"875",0,720,3.45,4
"876",0,720,4,3
"877",0,560,3.36,3
"878",1,800,4,3
"879",0,540,3.12,1
"880",1,620,4,1
"881",0,700,2.9,4
"882",0,620,3.07,2
"883",0,500,2.71,2
"884",0,380,2.91,4
"885",1,500,3.6,3
"886",0,520,2.98,2
"887",0,600,3.32,2
"888",0,600,3.48,2
"889",0,700,3.28,1
"890",1,660,4,2
"891",0,700,3.83,2
"892",1,720,3.64,1
"893",0,800,3.9,2
"894",0,580,2.93,2
"895",1,660,3.44,2
"896",0,660,3.33,2
"897",0,640,3.52,4
"898",0,480,3.57,2
"899",0,700,2.88,2
"900",0,400,3.31,3
"901",0,340,3.15,3
"902",0,580,3.57,3
"903",0,380,3.33,4
"904",0,540,3.94,3
"905",1,660,3.95,2
"906",1,740,2.97,2
"907",1,700,3.56,1
"908",0,480,3.13,2
"909",0,400,2.93,3
"910",0,480,3.45,2
"911",0,680,3.08,4
"912",0,420,3.41,4
"913",0,360,3,3
"914",0,600,3.22,1
"915",0,720,3.84,3
"916",0,620,3.99,3
"917",1,440,3.45,2
"918",0,700,3.72,2
"919",1,800,3.7,1
"920",0,340,2.92,3
"921",1,520,3.74,2
"922",1,480,2.67,2
"923",0,520,2.85,3
"924",0,500,2.98,3
"925",0,720,3.88,3
"926",0,540,3.38,4
"927",1,600,3.54,1
"928",0,740,3.74,4
"929",0,540,3.19,2
"930",0,460,3.15,4
"931",1,620,3.17,2
"932",0,640,2.79,2
"933",0,580,3.4,2
"934",0,500,3.08,3
"935",0,560,2.95,2
"936",0,500,3.57,3
"937",0,560,3.33,4
"938",0,700,4,3
"939",0,620,3.4,2
"940",1,600,3.58,1
"941",0,640,3.93,2
"942",1,700,3.52,4
"943",0,620,3.94,4
"944",0,580,3.4,3
"945",0,580,3.4,4
"946",0,380,3.43,3
"947",0,480,3.4,2
"948",0,560,2.71,3
"949",1,480,2.91,1
"950",0,740,3.31,1
"951",1,800,3.74,1
"952",0,400,3.38,2
"953",1,640,3.94,2
"954",0,580,3.46,3
"955",0,620,3.69,3
"956",1,580,2.86,4
"957",0,560,2.52,2
"958",1,480,3.58,1
"959",0,660,3.49,2
"960",0,700,3.82,3
"961",0,600,3.13,2
"962",0,640,3.5,2
"963",1,700,3.56,2
"964",0,520,2.73,2
"965",0,580,3.3,2
"966",0,700,4,1
"967",0,440,3.24,4
"968",0,720,3.77,3
"969",0,500,4,3
"970",0,600,3.62,3
"971",0,400,3.51,3
"972",0,540,2.81,3
"973",0,680,3.48,3
"974",1,800,3.43,2
"975",0,500,3.53,4
"976",1,620,3.37,2
"977",0,520,2.62,2
"978",1,620,3.23,3
"979",0,620,3.33,3
"980",0,300,3.01,3
"981",0,620,3.78,3
"982",0,500,3.88,4
"983",0,700,4,2
"984",1,540,3.84,2
"985",0,500,2.79,4
"986",0,800,3.6,2
"987",0,560,3.61,3
"988",0,580,2.88,2
"989",0,560,3.07,2
"990",0,500,3.35,2
"991",1,640,2.94,2
"992",0,800,3.54,3
"993",0,640,3.76,3
"994",0,380,3.59,4
"995",1,600,3.47,2
"996",0,560,3.59,2
"997",0,660,3.07,3
"998",1,400,3.23,4
"999",0,600,3.63,3
"1000",0,580,3.77,4
"1001",0,800,3.31,3
"1002",1,580,3.2,2
"1003",1,700,4,1
"1004",0,420,3.92,4
"1005",1,600,3.89,1
"1006",1,780,3.8,3
"1007",0,740,3.54,1
"1008",1,640,3.63,1
"1009",0,540,3.16,3
"1010",0,580,3.5,2
"1011",0,740,3.34,4
"1012",0,580,3.02,2
"1013",0,460,2.87,2
"1014",0,640,3.38,3
"1015",1,600,3.56,2
"1016",1,660,2.91,3
"1017",0,340,2.9,1
"1018",1,460,3.64,1
"1019",0,460,2.98,1
"1020",1,560,3.59,2
"1021",0,540,3.28,3
"1022",0,680,3.99,3
"1023",1,480,3.02,1
"1024",0,800,3.47,3
"1025",0,800,2.9,2
"1026",1,720,3.5,3
"1027",0,620,3.58,2
"1028",0,540,3.02,4
"1029",0,480,3.43,2
"1030",1,720,3.42,2
"1031",0,580,3.29,4
"1032",0,600,3.28,3
"1033",0,380,3.38,2
"1034",0,420,2.67,3
"1035",1,800,3.53,1
"1036",0,620,3.05,2
"1037",1,660,3.49,2
"1038",0,480,4,2
"1039",0,500,2.86,4
"1040",0,700,3.45,3
"1041",0,440,2.76,2
"1042",1,520,3.81,1
"1043",1,680,2.96,3
"1044",0,620,3.22,2
"1045",0,540,3.04,1
"1046",0,800,3.91,3
"1047",0,680,3.34,2
"1048",0,440,3.17,2
"1049",0,680,3.64,3
"1050",0,640,3.73,3
"1051",0,660,3.31,4
"1052",0,620,3.21,4
"1053",1,520,4,2
"1054",1,540,3.55,4
"1055",1,740,3.52,4
"1056",0,640,3.35,3
"1057",1,520,3.3,2
"1058",1,620,3.95,3
"1059",0,520,3.51,2
"1060",0,640,3.81,2
"1061",0,680,3.11,2
"1062",0,440,3.15,2
"1063",1,520,3.19,3
"1064",1,620,3.95,3
"1065",1,520,3.9,3
"1066",0,380,3.34,3
"1067",0,560,3.24,4
"1068",1,600,3.64,3
"1069",1,680,3.46,2
"1070",0,500,2.81,3
"1071",1,640,3.95,2
"1072",0,540,3.33,3
"1073",1,680,3.67,2
"1074",0,660,3.32,1
"1075",0,520,3.12,2
"1076",1,600,2.98,2
"1077",0,460,3.77,3
"1078",1,580,3.58,1
"1079",1,680,3,4
"1080",1,660,3.14,2
"1081",0,660,3.94,2
